Nutrition,Unit,NutritionPer100 (g),NutritionValue,Food code
Protein (g),g,7.26,7.26,11526000
Carbohydrate (g),g,9.88,9.88,11526000
Total Fat (g),g,15.25,15.25,11526000
"Fiber, total dietary (g)",g,0.13,0.13,11526000
Energy (kcal),kcal,205.8,205.8,11526000
Protein (g),g,7.44,7.44,11531000
Carbohydrate (g),g,8.26,8.26,11531000
Total Fat (g),g,19.22,19.22,11531000
"Fiber, total dietary (g)",g,0.1,0.1,11531000
Energy (kcal),kcal,235.8,235.8,11531000
Protein (g),g,10.78,10.78,11541110
Carbohydrate (g),g,8.94,8.94,11541110
Total Fat (g),g,14.59,14.59,11541110
"Fiber, total dietary (g)",g,0.11,0.11,11541110
Energy (kcal),kcal,210.2,210.2,11541110
Protein (g),g,10.51,10.51,11541120
Carbohydrate (g),g,9.93,9.93,11541120
Total Fat (g),g,10.91,10.91,11541120
"Fiber, total dietary (g)",g,0.09,0.09,11541120
Energy (kcal),kcal,179.9,179.9,11541120
Protein (g),g,12.7,12.7,11541130
Carbohydrate (g),g,9.87,9.87,11541130
Total Fat (g),g,14.6,14.6,11541130
"Fiber, total dietary (g)",g,0.11,0.11,11541130
Energy (kcal),kcal,221.7,221.7,11541130
Protein (g),g,8.66,8.66,11541135
Carbohydrate (g),g,6.5,6.5,11541135
Total Fat (g),g,14.67,14.67,11541135
"Fiber, total dietary (g)",g,0.09,0.09,11541135
Energy (kcal),kcal,192.7,192.7,11541135
Protein (g),g,10.5,10.5,11541400
Carbohydrate (g),g,5.97,5.97,11541400
Total Fat (g),g,19.27,19.27,11541400
"Fiber, total dietary (g)",g,0.13,0.13,11541400
Energy (kcal),kcal,239.3,239.3,11541400
Protein (g),g,11.19,11.19,11542100
Carbohydrate (g),g,8.17,8.17,11542100
Total Fat (g),g,13.29,13.29,11542100
"Fiber, total dietary (g)",g,0.12,0.12,11542100
Energy (kcal),kcal,197.0,197.0,11542100
Protein (g),g,11.11,11.11,11542200
Carbohydrate (g),g,6.38,6.38,11542200
Total Fat (g),g,18.7,18.7,11542200
"Fiber, total dietary (g)",g,0.12,0.12,11542200
Energy (kcal),kcal,238.3,238.3,11542200
Protein (g),g,12.7,12.7,11543000
Carbohydrate (g),g,9.08,9.08,11543000
Total Fat (g),g,16.02,16.02,11543000
"Fiber, total dietary (g)",g,0.1,0.1,11543000
Energy (kcal),kcal,231.3,231.3,11543000
Protein (g),g,12.6,12.6,11543010
Carbohydrate (g),g,9.76,9.76,11543010
Total Fat (g),g,10.91,10.91,11543010
"Fiber, total dietary (g)",g,0.07,0.07,11543010
Energy (kcal),kcal,187.6,187.6,11543010
Protein (g),g,9.26,9.26,11551050
Carbohydrate (g),g,9.49,9.49,11551050
Total Fat (g),g,19.39,19.39,11551050
"Fiber, total dietary (g)",g,0.08,0.08,11551050
Energy (kcal),kcal,249.5,249.5,11551050
Protein (g),g,10.56,10.56,11553100
Carbohydrate (g),g,7.43,7.43,11553100
Total Fat (g),g,19.23,19.23,11553100
"Fiber, total dietary (g)",g,0.12,0.12,11553100
Energy (kcal),kcal,245.0,245.0,11553100
Protein (g),g,12.03,12.03,11553110
Carbohydrate (g),g,7.85,7.85,11553110
Total Fat (g),g,14.23,14.23,11553110
"Fiber, total dietary (g)",g,0.09,0.09,11553110
Energy (kcal),kcal,207.6,207.6,11553110
Protein (g),g,7.34,7.34,11553120
Carbohydrate (g),g,9.75,9.75,11553120
Total Fat (g),g,17.82,17.82,11553120
"Fiber, total dietary (g)",g,0.13,0.13,11553120
Energy (kcal),kcal,228.7,228.7,11553120
Protein (g),g,12.98,12.98,11553130
Carbohydrate (g),g,8.27,8.27,11553130
Total Fat (g),g,17.42,17.42,11553130
"Fiber, total dietary (g)",g,0.13,0.13,11553130
Energy (kcal),kcal,241.8,241.8,11553130
Protein (g),g,12.1,12.1,11560000
Carbohydrate (g),g,6.79,6.79,11560000
Total Fat (g),g,14.55,14.55,11560000
"Fiber, total dietary (g)",g,0.08,0.08,11560000
Energy (kcal),kcal,206.5,206.5,11560000
Protein (g),g,12.72,12.72,11710000
Carbohydrate (g),g,8.51,8.51,11710000
Total Fat (g),g,12.56,12.56,11710000
"Fiber, total dietary (g)",g,0.11,0.11,11710000
Energy (kcal),kcal,198.0,198.0,11710000
Protein (g),g,10.71,10.71,11710030
Carbohydrate (g),g,7.32,7.32,11710030
Total Fat (g),g,11.52,11.52,11710030
"Fiber, total dietary (g)",g,0.11,0.11,11710030
Energy (kcal),kcal,175.8,175.8,11710030
Protein (g),g,10.12,10.12,11710051
Carbohydrate (g),g,9.31,9.31,11710051
Total Fat (g),g,15.18,15.18,11710051
"Fiber, total dietary (g)",g,0.12,0.12,11710051
Energy (kcal),kcal,214.3,214.3,11710051
Protein (g),g,10.31,10.31,11710056
Carbohydrate (g),g,8.29,8.29,11710056
Total Fat (g),g,18.39,18.39,11710056
"Fiber, total dietary (g)",g,0.09,0.09,11710056
Energy (kcal),kcal,239.9,239.9,11710056
Protein (g),g,7.8,7.8,11710351
Carbohydrate (g),g,5.74,5.74,11710351
Total Fat (g),g,17.3,17.3,11710351
"Fiber, total dietary (g)",g,0.11,0.11,11710351
Energy (kcal),kcal,209.9,209.9,11710351
Protein (g),g,11.22,11.22,11710357
Carbohydrate (g),g,6.62,6.62,11710357
Total Fat (g),g,11.73,11.73,11710357
"Fiber, total dietary (g)",g,0.07,0.07,11710357
Energy (kcal),kcal,176.9,176.9,11710357
Protein (g),g,9.1,9.1,11710358
Carbohydrate (g),g,8.43,8.43,11710358
Total Fat (g),g,14.03,14.03,11710358
"Fiber, total dietary (g)",g,0.1,0.1,11710358
Energy (kcal),kcal,196.4,196.4,11710358
Protein (g),g,12.42,12.42,11710359
Carbohydrate (g),g,7.27,7.27,11710359
Total Fat (g),g,15.13,15.13,11710359
"Fiber, total dietary (g)",g,0.12,0.12,11710359
Energy (kcal),kcal,214.9,214.9,11710359
Protein (g),g,9.38,9.38,11710371
Carbohydrate (g),g,8.59,8.59,11710371
Total Fat (g),g,18.26,18.26,11710371
"Fiber, total dietary (g)",g,0.13,0.13,11710371
Energy (kcal),kcal,236.2,236.2,11710371
Protein (g),g,7.88,7.88,11710377
Carbohydrate (g),g,10.05,10.05,11710377
Total Fat (g),g,14.93,14.93,11710377
"Fiber, total dietary (g)",g,0.09,0.09,11710377
Energy (kcal),kcal,206.1,206.1,11710377
Protein (g),g,9.75,9.75,11710378
Carbohydrate (g),g,10.3,10.3,11710378
Total Fat (g),g,14.93,14.93,11710378
"Fiber, total dietary (g)",g,0.09,0.09,11710378
Energy (kcal),kcal,214.6,214.6,11710378
Protein (g),g,10.8,10.8,11710379
Carbohydrate (g),g,6.75,6.75,11710379
Total Fat (g),g,11.18,11.18,11710379
"Fiber, total dietary (g)",g,0.08,0.08,11710379
Energy (kcal),kcal,170.8,170.8,11710379
Protein (g),g,7.77,7.77,11710381
Carbohydrate (g),g,6.33,6.33,11710381
Total Fat (g),g,11.75,11.75,11710381
"Fiber, total dietary (g)",g,0.11,0.11,11710381
Energy (kcal),kcal,162.2,162.2,11710381
Protein (g),g,8.09,8.09,11710383
Carbohydrate (g),g,7.26,7.26,11710383
Total Fat (g),g,18.57,18.57,11710383
"Fiber, total dietary (g)",g,0.1,0.1,11710383
Energy (kcal),kcal,228.5,228.5,11710383
Protein (g),g,11.01,11.01,11710481
Carbohydrate (g),g,6.43,6.43,11710481
Total Fat (g),g,12.23,12.23,11710481
"Fiber, total dietary (g)",g,0.07,0.07,11710481
Energy (kcal),kcal,179.8,179.8,11710481
Protein (g),g,8.01,8.01,11710605
Carbohydrate (g),g,6.94,6.94,11710605
Total Fat (g),g,12.09,12.09,11710605
"Fiber, total dietary (g)",g,0.08,0.08,11710605
Energy (kcal),kcal,168.6,168.6,11710605
Protein (g),g,7.72,7.72,11710631
Carbohydrate (g),g,7.81,7.81,11710631
Total Fat (g),g,12.36,12.36,11710631
"Fiber, total dietary (g)",g,0.09,0.09,11710631
Energy (kcal),kcal,173.4,173.4,11710631
Protein (g),g,10.02,10.02,11710637
Carbohydrate (g),g,8.91,8.91,11710637
Total Fat (g),g,10.85,10.85,11710637
"Fiber, total dietary (g)",g,0.12,0.12,11710637
Energy (kcal),kcal,173.4,173.4,11710637
Protein (g),g,10.77,10.77,11710638
Carbohydrate (g),g,5.99,5.99,11710638
Total Fat (g),g,18.36,18.36,11710638
"Fiber, total dietary (g)",g,0.13,0.13,11710638
Energy (kcal),kcal,232.3,232.3,11710638
Protein (g),g,7.37,7.37,11710639
Carbohydrate (g),g,6.93,6.93,11710639
Total Fat (g),g,17.76,17.76,11710639
"Fiber, total dietary (g)",g,0.11,0.11,11710639
Energy (kcal),kcal,217.0,217.0,11710639
Protein (g),g,8.11,8.11,11710661
Carbohydrate (g),g,6.6,6.6,11710661
Total Fat (g),g,13.83,13.83,11710661
"Fiber, total dietary (g)",g,0.1,0.1,11710661
Energy (kcal),kcal,183.3,183.3,11710661
Protein (g),g,10.71,10.71,11710669
Carbohydrate (g),g,7.37,7.37,11710669
Total Fat (g),g,14.66,14.66,11710669
"Fiber, total dietary (g)",g,0.11,0.11,11710669
Energy (kcal),kcal,204.3,204.3,11710669
Protein (g),g,7.22,7.22,11710671
Carbohydrate (g),g,6.81,6.81,11710671
Total Fat (g),g,16.92,16.92,11710671
"Fiber, total dietary (g)",g,0.12,0.12,11710671
Energy (kcal),kcal,208.4,208.4,11710671
Protein (g),g,10.07,10.07,11710677
Carbohydrate (g),g,8.15,8.15,11710677
Total Fat (g),g,11.46,11.46,11710677
"Fiber, total dietary (g)",g,0.1,0.1,11710677
Energy (kcal),kcal,176.0,176.0,11710677
Protein (g),g,10.2,10.2,11710678
Carbohydrate (g),g,6.76,6.76,11710678
Total Fat (g),g,12.92,12.92,11710678
"Fiber, total dietary (g)",g,0.09,0.09,11710678
Energy (kcal),kcal,184.1,184.1,11710678
Protein (g),g,7.12,7.12,11710679
Carbohydrate (g),g,7.15,7.15,11710679
Total Fat (g),g,12.4,12.4,11710679
"Fiber, total dietary (g)",g,0.09,0.09,11710679
Energy (kcal),kcal,168.7,168.7,11710679
Protein (g),g,7.72,7.72,11710689
Carbohydrate (g),g,9.87,9.87,11710689
Total Fat (g),g,15.84,15.84,11710689
"Fiber, total dietary (g)",g,0.11,0.11,11710689
Energy (kcal),kcal,212.9,212.9,11710689
Protein (g),g,11.74,11.74,11710801
Carbohydrate (g),g,7.99,7.99,11710801
Total Fat (g),g,11.28,11.28,11710801
"Fiber, total dietary (g)",g,0.1,0.1,11710801
Energy (kcal),kcal,180.4,180.4,11710801
Protein (g),g,10.52,10.52,11710807
Carbohydrate (g),g,9.18,9.18,11710807
Total Fat (g),g,14.38,14.38,11710807
"Fiber, total dietary (g)",g,0.08,0.08,11710807
Energy (kcal),kcal,208.2,208.2,11710807
Protein (g),g,8.7,8.7,11710810
Carbohydrate (g),g,7.34,7.34,11710810
Total Fat (g),g,16.31,16.31,11710810
"Fiber, total dietary (g)",g,0.1,0.1,11710810
Energy (kcal),kcal,210.9,210.9,11710810
Protein (g),g,9.14,9.14,11710815
Carbohydrate (g),g,10.34,10.34,11710815
Total Fat (g),g,15.95,15.95,11710815
"Fiber, total dietary (g)",g,0.08,0.08,11710815
Energy (kcal),kcal,221.5,221.5,11710815
Protein (g),g,7.61,7.61,11710905
Carbohydrate (g),g,6.33,6.33,11710905
Total Fat (g),g,12.71,12.71,11710905
"Fiber, total dietary (g)",g,0.08,0.08,11710905
Energy (kcal),kcal,170.2,170.2,11710905
Protein (g),g,8.12,8.12,11710911
Carbohydrate (g),g,6.97,6.97,11710911
Total Fat (g),g,12.06,12.06,11710911
"Fiber, total dietary (g)",g,0.12,0.12,11710911
Energy (kcal),kcal,168.9,168.9,11710911
Protein (g),g,7.48,7.48,11710917
Carbohydrate (g),g,8.12,8.12,11710917
Total Fat (g),g,14.19,14.19,11710917
"Fiber, total dietary (g)",g,0.13,0.13,11710917
Energy (kcal),kcal,190.1,190.1,11710917
Protein (g),g,7.67,7.67,11710918
Carbohydrate (g),g,7.51,7.51,11710918
Total Fat (g),g,19.23,19.23,11710918
"Fiber, total dietary (g)",g,0.12,0.12,11710918
Energy (kcal),kcal,233.8,233.8,11710918
Protein (g),g,11.9,11.9,11710919
Carbohydrate (g),g,6.84,6.84,11710919
Total Fat (g),g,12.04,12.04,11710919
"Fiber, total dietary (g)",g,0.11,0.11,11710919
Energy (kcal),kcal,183.3,183.3,11710919
Protein (g),g,12.58,12.58,11710921
Carbohydrate (g),g,8.27,8.27,11710921
Total Fat (g),g,15.64,15.64,11710921
"Fiber, total dietary (g)",g,0.09,0.09,11710921
Energy (kcal),kcal,224.2,224.2,11710921
Protein (g),g,11.62,11.62,11710930
Carbohydrate (g),g,6.5,6.5,11710930
Total Fat (g),g,13.41,13.41,11710930
"Fiber, total dietary (g)",g,0.1,0.1,11710930
Energy (kcal),kcal,193.2,193.2,11710930
Protein (g),g,10.05,10.05,11710935
Carbohydrate (g),g,6.76,6.76,11710935
Total Fat (g),g,11.53,11.53,11710935
"Fiber, total dietary (g)",g,0.11,0.11,11710935
Energy (kcal),kcal,171.0,171.0,11710935
Protein (g),g,8.73,8.73,11710945
Carbohydrate (g),g,8.39,8.39,11710945
Total Fat (g),g,11.89,11.89,11710945
"Fiber, total dietary (g)",g,0.1,0.1,11710945
Energy (kcal),kcal,175.5,175.5,11710945
Protein (g),g,10.2,10.2,11710954
Carbohydrate (g),g,5.85,5.85,11710954
Total Fat (g),g,13.53,13.53,11710954
"Fiber, total dietary (g)",g,0.08,0.08,11710954
Energy (kcal),kcal,186.0,186.0,11710954
Protein (g),g,7.38,7.38,11710955
Carbohydrate (g),g,10.35,10.35,11710955
Total Fat (g),g,13.4,13.4,11710955
"Fiber, total dietary (g)",g,0.12,0.12,11710955
Energy (kcal),kcal,191.5,191.5,11710955
Protein (g),g,8.53,8.53,11710967
Carbohydrate (g),g,8.87,8.87,11710967
Total Fat (g),g,17.34,17.34,11710967
"Fiber, total dietary (g)",g,0.11,0.11,11710967
Energy (kcal),kcal,225.7,225.7,11710967
Protein (g),g,9.83,9.83,11710968
Carbohydrate (g),g,7.58,7.58,11710968
Total Fat (g),g,13.64,13.64,11710968
"Fiber, total dietary (g)",g,0.13,0.13,11710968
Energy (kcal),kcal,192.4,192.4,11710968
Protein (g),g,11.98,11.98,11710969
Carbohydrate (g),g,10.23,10.23,11710969
Total Fat (g),g,11.62,11.62,11710969
"Fiber, total dietary (g)",g,0.11,0.11,11710969
Energy (kcal),kcal,193.4,193.4,11710969
Protein (g),g,12.63,12.63,11710970
Carbohydrate (g),g,6.47,6.47,11710970
Total Fat (g),g,11.1,11.1,11710970
"Fiber, total dietary (g)",g,0.11,0.11,11710970
Energy (kcal),kcal,176.3,176.3,11710970
Protein (g),g,10.45,10.45,11710980
Carbohydrate (g),g,9.64,9.64,11710980
Total Fat (g),g,11.76,11.76,11710980
"Fiber, total dietary (g)",g,0.12,0.12,11710980
Energy (kcal),kcal,186.2,186.2,11710980
Protein (g),g,8.21,8.21,11720311
Carbohydrate (g),g,6.39,6.39,11720311
Total Fat (g),g,11.98,11.98,11720311
"Fiber, total dietary (g)",g,0.12,0.12,11720311
Energy (kcal),kcal,166.2,166.2,11720311
Protein (g),g,10.99,10.99,11720317
Carbohydrate (g),g,8.11,8.11,11720317
Total Fat (g),g,13.73,13.73,11720317
"Fiber, total dietary (g)",g,0.12,0.12,11720317
Energy (kcal),kcal,200.0,200.0,11720317
Protein (g),g,9.35,9.35,11720318
Carbohydrate (g),g,9.52,9.52,11720318
Total Fat (g),g,14.45,14.45,11720318
"Fiber, total dietary (g)",g,0.09,0.09,11720318
Energy (kcal),kcal,205.5,205.5,11720318
Protein (g),g,9.78,9.78,11720319
Carbohydrate (g),g,7.05,7.05,11720319
Total Fat (g),g,17.23,17.23,11720319
"Fiber, total dietary (g)",g,0.1,0.1,11720319
Energy (kcal),kcal,222.4,222.4,11720319
Protein (g),g,8.39,8.39,11720411
Carbohydrate (g),g,9.92,9.92,11720411
Total Fat (g),g,13.96,13.96,11720411
"Fiber, total dietary (g)",g,0.1,0.1,11720411
Energy (kcal),kcal,198.9,198.9,11720411
Protein (g),g,12.44,12.44,11720417
Carbohydrate (g),g,8.6,8.6,11720417
Total Fat (g),g,11.55,11.55,11720417
"Fiber, total dietary (g)",g,0.13,0.13,11720417
Energy (kcal),kcal,188.1,188.1,11720417
Protein (g),g,10.77,10.77,11720418
Carbohydrate (g),g,7.21,7.21,11720418
Total Fat (g),g,11.75,11.75,11720418
"Fiber, total dietary (g)",g,0.12,0.12,11720418
Energy (kcal),kcal,177.7,177.7,11720418
Protein (g),g,10.72,10.72,11720419
Carbohydrate (g),g,8.16,8.16,11720419
Total Fat (g),g,18.55,18.55,11720419
"Fiber, total dietary (g)",g,0.12,0.12,11720419
Energy (kcal),kcal,242.5,242.5,11720419
Protein (g),g,7.91,7.91,11720430
Carbohydrate (g),g,7.1,7.1,11720430
Total Fat (g),g,12.74,12.74,11720430
"Fiber, total dietary (g)",g,0.11,0.11,11720430
Energy (kcal),kcal,174.7,174.7,11720430
Protein (g),g,7.2,7.2,11720611
Carbohydrate (g),g,8.34,8.34,11720611
Total Fat (g),g,17.36,17.36,11720611
"Fiber, total dietary (g)",g,0.12,0.12,11720611
Energy (kcal),kcal,218.4,218.4,11720611
Protein (g),g,9.05,9.05,11720617
Carbohydrate (g),g,9.54,9.54,11720617
Total Fat (g),g,11.5,11.5,11720617
"Fiber, total dietary (g)",g,0.12,0.12,11720617
Energy (kcal),kcal,177.9,177.9,11720617
Protein (g),g,7.76,7.76,11720618
Carbohydrate (g),g,7.51,7.51,11720618
Total Fat (g),g,17.68,17.68,11720618
"Fiber, total dietary (g)",g,0.08,0.08,11720618
Energy (kcal),kcal,220.2,220.2,11720618
Protein (g),g,8.38,8.38,11720619
Carbohydrate (g),g,9.07,9.07,11720619
Total Fat (g),g,16.98,16.98,11720619
"Fiber, total dietary (g)",g,0.11,0.11,11720619
Energy (kcal),kcal,222.6,222.6,11720619
Protein (g),g,11.16,11.16,11720809
Carbohydrate (g),g,8.21,8.21,11720809
Total Fat (g),g,12.77,12.77,11720809
"Fiber, total dietary (g)",g,0.09,0.09,11720809
Energy (kcal),kcal,192.4,192.4,11720809
Protein (g),g,8.09,8.09,11740311
Carbohydrate (g),g,9.96,9.96,11740311
Total Fat (g),g,15.75,15.75,11740311
"Fiber, total dietary (g)",g,0.09,0.09,11740311
Energy (kcal),kcal,213.9,213.9,11740311
Protein (g),g,9.77,9.77,11740313
Carbohydrate (g),g,10.15,10.15,11740313
Total Fat (g),g,11.88,11.88,11740313
"Fiber, total dietary (g)",g,0.11,0.11,11740313
Energy (kcal),kcal,186.6,186.6,11740313
Protein (g),g,10.04,10.04,11740401
Carbohydrate (g),g,8.53,8.53,11740401
Total Fat (g),g,10.66,10.66,11740401
"Fiber, total dietary (g)",g,0.12,0.12,11740401
Energy (kcal),kcal,170.2,170.2,11740401
Protein (g),g,12.59,12.59,11740403
Carbohydrate (g),g,8.31,8.31,11740403
Total Fat (g),g,16.77,16.77,11740403
"Fiber, total dietary (g)",g,0.13,0.13,11740403
Energy (kcal),kcal,234.5,234.5,11740403
Protein (g),g,11.24,11.24,11740405
Carbohydrate (g),g,6.33,6.33,11740405
Total Fat (g),g,15.69,15.69,11740405
"Fiber, total dietary (g)",g,0.11,0.11,11740405
Energy (kcal),kcal,211.5,211.5,11740405
Protein (g),g,9.54,9.54,11740560
Carbohydrate (g),g,9.13,9.13,11740560
Total Fat (g),g,18.91,18.91,11740560
"Fiber, total dietary (g)",g,0.13,0.13,11740560
Energy (kcal),kcal,244.9,244.9,11740560
Protein (g),g,9.71,9.71,11810000
Carbohydrate (g),g,6.14,6.14,11810000
Total Fat (g),g,19.36,19.36,11810000
"Fiber, total dietary (g)",g,0.12,0.12,11810000
Energy (kcal),kcal,237.6,237.6,11810000
Protein (g),g,7.75,7.75,11825000
Carbohydrate (g),g,10.02,10.02,11825000
Total Fat (g),g,18.33,18.33,11825000
"Fiber, total dietary (g)",g,0.1,0.1,11825000
Energy (kcal),kcal,236.0,236.0,11825000
Protein (g),g,10.55,10.55,11830150
Carbohydrate (g),g,7.52,7.52,11830150
Total Fat (g),g,10.99,10.99,11830150
"Fiber, total dietary (g)",g,0.09,0.09,11830150
Energy (kcal),kcal,171.2,171.2,11830150
Protein (g),g,11.82,11.82,11830160
Carbohydrate (g),g,5.62,5.62,11830160
Total Fat (g),g,13.5,13.5,11830160
"Fiber, total dietary (g)",g,0.09,0.09,11830160
Energy (kcal),kcal,191.3,191.3,11830160
Protein (g),g,10.22,10.22,11830165
Carbohydrate (g),g,10.02,10.02,11830165
Total Fat (g),g,13.62,13.62,11830165
"Fiber, total dietary (g)",g,0.09,0.09,11830165
Energy (kcal),kcal,203.5,203.5,11830165
Protein (g),g,11.43,11.43,11830260
Carbohydrate (g),g,7.77,7.77,11830260
Total Fat (g),g,12.52,12.52,11830260
"Fiber, total dietary (g)",g,0.1,0.1,11830260
Energy (kcal),kcal,189.5,189.5,11830260
Protein (g),g,7.85,7.85,11830400
Carbohydrate (g),g,6.45,6.45,11830400
Total Fat (g),g,14.99,14.99,11830400
"Fiber, total dietary (g)",g,0.1,0.1,11830400
Energy (kcal),kcal,192.1,192.1,11830400
Protein (g),g,12.49,12.49,12100100
Carbohydrate (g),g,7.34,7.34,12100100
Total Fat (g),g,15.73,15.73,12100100
"Fiber, total dietary (g)",g,0.11,0.11,12100100
Energy (kcal),kcal,220.9,220.9,12100100
Protein (g),g,7.08,7.08,12110100
Carbohydrate (g),g,8.78,8.78,12110100
Total Fat (g),g,12.1,12.1,12110100
"Fiber, total dietary (g)",g,0.13,0.13,12110100
Energy (kcal),kcal,172.3,172.3,12110100
Protein (g),g,7.89,7.89,12120100
Carbohydrate (g),g,7.59,7.59,12120100
Total Fat (g),g,11.27,11.27,12120100
"Fiber, total dietary (g)",g,0.13,0.13,12120100
Energy (kcal),kcal,163.3,163.3,12120100
Protein (g),g,10.01,10.01,12120106
Carbohydrate (g),g,8.46,8.46,12120106
Total Fat (g),g,11.1,11.1,12120106
"Fiber, total dietary (g)",g,0.11,0.11,12120106
Energy (kcal),kcal,173.8,173.8,12120106
Protein (g),g,8.26,8.26,12120110
Carbohydrate (g),g,9.91,9.91,12120110
Total Fat (g),g,12.35,12.35,12120110
"Fiber, total dietary (g)",g,0.08,0.08,12120110
Energy (kcal),kcal,183.8,183.8,12120110
Protein (g),g,7.22,7.22,12130100
Carbohydrate (g),g,7.87,7.87,12130100
Total Fat (g),g,15.58,15.58,12130100
"Fiber, total dietary (g)",g,0.07,0.07,12130100
Energy (kcal),kcal,200.6,200.6,12130100
Protein (g),g,11.65,11.65,12140000
Carbohydrate (g),g,7.78,7.78,12140000
Total Fat (g),g,15.22,15.22,12140000
"Fiber, total dietary (g)",g,0.1,0.1,12140000
Energy (kcal),kcal,214.7,214.7,12140000
Protein (g),g,9.4,9.4,12200100
Carbohydrate (g),g,8.29,8.29,12200100
Total Fat (g),g,11.9,11.9,12200100
"Fiber, total dietary (g)",g,0.08,0.08,12200100
Energy (kcal),kcal,177.9,177.9,12200100
Protein (g),g,12.17,12.17,12210200
Carbohydrate (g),g,10.14,10.14,12210200
Total Fat (g),g,13.86,13.86,12210200
"Fiber, total dietary (g)",g,0.09,0.09,12210200
Energy (kcal),kcal,214.0,214.0,12210200
Protein (g),g,10.86,10.86,12210210
Carbohydrate (g),g,7.56,7.56,12210210
Total Fat (g),g,10.73,10.73,12210210
"Fiber, total dietary (g)",g,0.08,0.08,12210210
Energy (kcal),kcal,170.2,170.2,12210210
Protein (g),g,11.3,11.3,12210260
Carbohydrate (g),g,8.76,8.76,12210260
Total Fat (g),g,10.74,10.74,12210260
"Fiber, total dietary (g)",g,0.08,0.08,12210260
Energy (kcal),kcal,176.9,176.9,12210260
Protein (g),g,8.39,8.39,12210270
Carbohydrate (g),g,8.83,8.83,12210270
Total Fat (g),g,10.68,10.68,12210270
"Fiber, total dietary (g)",g,0.08,0.08,12210270
Energy (kcal),kcal,165.0,165.0,12210270
Protein (g),g,11.8,11.8,12210280
Carbohydrate (g),g,6.46,6.46,12210280
Total Fat (g),g,16.37,16.37,12210280
"Fiber, total dietary (g)",g,0.08,0.08,12210280
Energy (kcal),kcal,220.4,220.4,12210280
Protein (g),g,7.6,7.6,12210310
Carbohydrate (g),g,6.77,6.77,12210310
Total Fat (g),g,17.0,17.0,12210310
"Fiber, total dietary (g)",g,0.12,0.12,12210310
Energy (kcal),kcal,210.5,210.5,12210310
Protein (g),g,11.98,11.98,12210400
Carbohydrate (g),g,7.51,7.51,12210400
Total Fat (g),g,16.51,16.51,12210400
"Fiber, total dietary (g)",g,0.08,0.08,12210400
Energy (kcal),kcal,226.6,226.6,12210400
Protein (g),g,8.76,8.76,12210420
Carbohydrate (g),g,9.9,9.9,12210420
Total Fat (g),g,10.62,10.62,12210420
"Fiber, total dietary (g)",g,0.08,0.08,12210420
Energy (kcal),kcal,170.2,170.2,12210420
Protein (g),g,8.25,8.25,12210430
Carbohydrate (g),g,5.73,5.73,12210430
Total Fat (g),g,12.13,12.13,12210430
"Fiber, total dietary (g)",g,0.1,0.1,12210430
Energy (kcal),kcal,165.1,165.1,12210430
Protein (g),g,9.53,9.53,12210505
Carbohydrate (g),g,9.88,9.88,12210505
Total Fat (g),g,17.86,17.86,12210505
"Fiber, total dietary (g)",g,0.09,0.09,12210505
Energy (kcal),kcal,238.4,238.4,12210505
Protein (g),g,8.56,8.56,12210520
Carbohydrate (g),g,7.42,7.42,12210520
Total Fat (g),g,15.81,15.81,12210520
"Fiber, total dietary (g)",g,0.09,0.09,12210520
Energy (kcal),kcal,206.2,206.2,12210520
Protein (g),g,10.74,10.74,12220200
Carbohydrate (g),g,7.57,7.57,12220200
Total Fat (g),g,15.47,15.47,12220200
"Fiber, total dietary (g)",g,0.1,0.1,12220200
Energy (kcal),kcal,212.5,212.5,12220200
